concept_id,text,text_alt,romanization_pinyin,ipa,literal,confidence,provenance
lost-rescue.i-do-not-know-where-i-am,我不知道我在哪里,,wǒ bù zhīdào wǒ zài nǎlǐ,wɔ˧˩˧ pu˥˩ ʈʂɨ˥tɑʊ˥˩ wɔ˧˩˧ tsaɪ˥˩ na˧˩˧li˧˩˧,,2,zh-Hans-agent-v1;ipa=pinyin
emergency-medical.i-am-bleeding-badly,我流血不止,,wǒ liúxuè bù zhǐ,wɔ˧˩˧ ljoʊ˧˥ɕɥœ˥˩ pu˥˩ ʈʂɨ˧˩˧,,2,zh-Hans-agent-v1;ipa=pinyin
lost-rescue.my-friend-is-hurt,我朋友受伤了,,wǒ péngyou shòushāng le,wɔ˧˩˧ pʰɤŋ˧˥joʊ ʂoʊ˥˩ʂɑŋ˥ lɤ,,2,zh-Hans-agent-v1;ipa=pinyin
emergency-medical.i-have-chest-pain,我胸口疼,,wǒ xiōngkǒu téng,wɔ˧˩˧ ɕjʊŋ˥kʰoʊ˧˩˧ tʰɤŋ˧˥,,2,zh-Hans-agent-v1;ipa=pinyin
lost-rescue.i-lost-my-wallet,我的钱包丢了,,wǒ de qiánbāo diū le,wɔ˧˩˧ tɤ tɕʰjɛn˧˥pɑʊ˥ tjoʊ˥ lɤ,,2,zh-Hans-agent-v1;ipa=pinyin
emergency-medical.this-person-is-unconscious,这个人昏迷了,,zhège rén hūnmí le,ʈʂɤ˥˩kɤ ʐən˧˥ xwən˥mi˧˥ lɤ,,2,zh-Hans-agent-v1;ipa=pinyin
lost-rescue.i-lost-my-bag,我的包丢了,,wǒ de bāo diū le,wɔ˧˩˧ tɤ pɑʊ˥ tjoʊ˥ lɤ,,2,zh-Hans-agent-v1;ipa=pinyin
emergency-medical.where-is-the-nearest-hospital,最近的医院在哪里？,,zuìjìn de yīyuàn zài nǎlǐ?,tsweɪ˥˩tɕin˥˩ tɤ i˥ɥœn˥˩ tsaɪ˥˩ na˧˩˧li˧˩˧,,2,zh-Hans-agent-v1;ipa=pinyin
lost-rescue.where-is-lost-and-found,失物招领处在哪里？,,shīwù zhāolǐngchù zài nǎlǐ?,ʂɨ˥u˥˩ ʈʂɑʊ˥liŋ˧˩˧ʈʂʰu˥˩ tsaɪ˥˩ na˧˩˧li˧˩˧,,2,zh-Hans-agent-v1;ipa=pinyin
emergency-medical.what-is-the-emergency-number,急救电话是多少？,,jíjiù diànhuà shì duōshao?,tɕi˧˥tɕjoʊ˥˩ tjɛn˥˩xwa˥˩ ʂɨ˥˩ twɔ˥ʂɑʊ,,2,zh-Hans-agent-v1;ipa=pinyin
lost-rescue.i-cannot-find-my-hotel,我找不到我的酒店,,wǒ zhǎo bu dào wǒ de jiǔdiàn,wɔ˧˩˧ ʈʂɑʊ˧˩˧ pu tɑʊ˥˩ wɔ˧˩˧ tɤ tɕjoʊ˧˩˧tjɛn˥˩,,2,zh-Hans-agent-v1;ipa=pinyin
emergency-medical.is-there-a-doctor-who-speaks-english,有会说{source}的医生吗？,,yǒu huì shuō {source} de yīshēng ma?,joʊ˧˩˧ xweɪ˥˩ ʂwɔ˥ {source} tɤ i˥ʂɤŋ˥ ma,,2,language-slots-v1;ipa=pinyin
lost-rescue.i-left-it-on-the-train,我忘在火车上了,,wǒ wàng zài huǒchē shàng le,wɔ˧˩˧ wɑŋ˥˩ tsaɪ˥˩ xwɔ˧˩˧ʈʂʰɤ˥ ʂɑŋ˥˩ lɤ,,2,zh-Hans-agent-v1;ipa=pinyin
emergency-medical.i-think-a-bone-is-broken,我可能骨折了,,wǒ kěnéng gǔzhé le,wɔ˧˩˧ kʰɤ˧˩˧nɤŋ˧˥ ku˧˩˧ʈʂɤ˧˥ lɤ,,2,zh-Hans-agent-v1;ipa=pinyin
lost-rescue.i-cannot-get-down,我下不去了,,wǒ xià bu qù le,wɔ˧˩˧ ɕja˥˩ pu tɕʰy˥˩ lɤ,,2,zh-Hans-agent-v1;ipa=pinyin
emergency-medical.please-call-my-emergency-contact,请打给我的紧急联系人,,qǐng dǎ gěi wǒ de jǐnjí liánxìrén,tɕʰiŋ˧˩˧ ta˧˩˧ keɪ˧˩˧ wɔ˧˩˧ tɤ tɕin˧˩˧tɕi˧˥ ljɛn˧˥ɕi˥˩ʐən˧˥,,2,zh-Hans-agent-v1;ipa=pinyin
emergency-medical.i-have-travel-insurance,我有旅行保险,,wǒ yǒu lǚxíng bǎoxiǎn,wɔ˧˩˧ joʊ˧˩˧ ly˧˩˧ɕiŋ˧˥ pɑʊ˧˩˧ɕjɛn˧˩˧,,2,zh-Hans-agent-v1;ipa=pinyin
pharmacy-symptoms.i-think-i-have-dengue,好像得了登革热,,hǎoxiàng déle dēnggérè,xɑʊ˧˩˧ɕjɑŋ˥˩ tɤ˧˥lɤ tɤŋ˥kɤ˧˥ʐɤ˥˩,,2,dengue-agent-v1;in-pack-frame;ipa=pinyin
