concept_id,text,text_alt,romanization_iso15919,ipa,literal,confidence,provenance
etiquette.what-is-customary,ಇಲ್ಲಿ ಪದ್ಧತಿ ಏನು?,,illi paddhati ēnu?,illi paddʰati eːnu,what is the custom here?,2,"Kittel, A Kannada-English Dictionary (DSAL); Sridhar, Kannada (Descriptive Grammars 1990);ipa=espeak"
etiquette.keep-the-change,ಚಿಲ್ಲರೆ ಇಟ್ಟುಕೊಳ್ಳಿ,,cillare iṭṭukoḷḷi,cillare iʈʈukoɭɭi,keep the small change,2,"Kittel, A Kannada-English Dictionary (DSAL); Sridhar, Kannada (Descriptive Grammars 1990);ipa=espeak"
children.cannot-find-my-child,ನನ್ನ ಮಗು ಕಾಣಿಸುತ್ತಿಲ್ಲ,ನನ್ನ ಮಗು ತಪ್ಪಿಸಿಕೊಂಡಿದೆ,nanna magu kāṇisuttilla,nanna maɡu kaːɳisuttilla,"my child is not to be seen / my child has got separated — neither verb can mean bereavement, which ಹೋಗಿಬಿಟ್ಟಿತು of a person does",2,"Kittel, A Kannada-English Dictionary (DSAL); Sridhar, Kannada (Descriptive Grammars 1990);ipa=espeak"
children.make-an-announcement,ದಯವಿಟ್ಟು ಪ್ರಕಟಣೆ ಮಾಡಿ,ಅನೌನ್ಸ್ ಮಾಡಿ,dayaviṭṭu prakaṭaṇe māḍi,dajaviʈʈu prakaʈaɳe maːɖi,please make an announcement,2,"Kittel, A Kannada-English Dictionary (DSAL); Sridhar, Kannada (Descriptive Grammars 1990);ipa=espeak"
children.child-age,ನನ್ನ ಮಗುವಿಗೆ {} ವರ್ಷ,,nanna maguvige {} varṣa,nanna maɡuviɡe {} varʂa,to my child [there are] {} years,2,"Kittel, A Kannada-English Dictionary (DSAL); Sridhar, Kannada (Descriptive Grammars 1990);ipa=espeak"
children.high-chair,ಮಗುವಿನ ಎತ್ತರದ ಕುರ್ಚಿ ಇದೆಯೇ?,,maguvina ettarada kurci ideyē?,maɡuvina ettarada kurci idejeː,is there a child's high chair?,2,"Kittel, A Kannada-English Dictionary (DSAL); Sridhar, Kannada (Descriptive Grammars 1990);ipa=espeak"
children.baby-changing-room,ಮಗುವಿನ ಬಟ್ಟೆ ಬದಲಿಸುವ ಕೊಠಡಿ ಎಲ್ಲಿದೆ?,,maguvina baṭṭe badalisuva koṭhaḍi ellide?,maɡuvina baʈʈe badalisuva koʈʰaɖi ellide,where is the room for changing a baby's clothes?,2,"Kittel, A Kannada-English Dictionary (DSAL); Sridhar, Kannada (Descriptive Grammars 1990);ipa=espeak"
children.childrens-menu,ಮಕ್ಕಳಿಗೆ ಮೆನು ಇದೆಯೇ?,,makkaḷige menu ideyē?,makkaɭiɡe menu idejeː,is there a menu for children?,2,"Kittel, A Kannada-English Dictionary (DSAL); Sridhar, Kannada (Descriptive Grammars 1990);ipa=espeak"
children.suitable-for-children,ಇದು ಮಕ್ಕಳಿಗೆ ಸರಿಯೇ?,,idu makkaḷige sariyē?,idu makkaɭiɡe sarijeː,is this right for children?,2,"Kittel, A Kannada-English Dictionary (DSAL); Sridhar, Kannada (Descriptive Grammars 1990);ipa=espeak"
children.minimum-age,ಕನಿಷ್ಠ ವಯಸ್ಸು ಎಷ್ಟು?,,kaniṣṭha vayassu eṣṭu?,kaniʂʈʰa vajassu eʂʈu,what is the least age?,2,"Kittel, A Kannada-English Dictionary (DSAL); Sridhar, Kannada (Descriptive Grammars 1990);ipa=espeak"
children.do-children-pay,ಮಕ್ಕಳಿಗೆ ಟಿಕೆಟ್ ಬೇಕೇ?,,makkaḷige ṭikeṭ bēkē?,makkaɭiɡe ʈikeʈ beːkeː,is a ticket needed for children? — asks whether they are charged at all,2,"Kittel, A Kannada-English Dictionary (DSAL); Sridhar, Kannada (Descriptive Grammars 1990);ipa=espeak"
children.crib,ಮಗುವಿನ ತೊಟ್ಟಿಲು ಇದೆಯೇ?,,maguvina toṭṭilu ideyē?,maɡuvina toʈʈilu idejeː,is there a child's cradle?,2,"Kittel, A Kannada-English Dictionary (DSAL); Sridhar, Kannada (Descriptive Grammars 1990);ipa=espeak"
children.warm-this-bottle,ದಯವಿಟ್ಟು ಈ ಬಾಟಲಿ ಬೆಚ್ಚಗೆ ಮಾಡಿ,,dayaviṭṭu ī bāṭali beccage māḍi,dajaviʈʈu iː baːʈali beccaɡe maːɖi,"please make this bottle warm — ಬೆಚ್ಚಗೆ is warm, not hot",2,"Kittel, A Kannada-English Dictionary (DSAL); Sridhar, Kannada (Descriptive Grammars 1990);ipa=espeak"
children.car-seat,ನಮಗೆ ಮಗುವಿನ ಕಾರ್ ಸೀಟ್ ಬೇಕು,,namage maguvina kār sīṭ bēku,namaɡe maɡuvina kaːr siːʈ beːku,we need a child's car seat,2,"Kittel, A Kannada-English Dictionary (DSAL); Sridhar, Kannada (Descriptive Grammars 1990);ipa=espeak"
children.stroller,ಮಗುವಿನ ತಳ್ಳುಗಾಡಿ,,maguvina taḷḷugāḍi,maɡuvina taɭɭuɡaːɖi,child's push-cart,2,"Kittel, A Kannada-English Dictionary (DSAL); Sridhar, Kannada (Descriptive Grammars 1990);ipa=espeak"
children.playground,ಆಟದ ಮೈದಾನ ಇದೆಯೇ?,,āṭada maidāna ideyē?,aːʈada maɪdaːna idejeː,is there a playing ground?,2,"Kittel, A Kannada-English Dictionary (DSAL); Sridhar, Kannada (Descriptive Grammars 1990);ipa=espeak"
