pass,concept_a,concept_b,relation
3,emergency-medical.i-am-having-a-severe-allergic-reaction,emergency-medical.i-am-sick,none
1,emergency-medical.i-am-having-a-severe-allergic-reaction,emergency-medical.i-cannot-breathe,none
2,emergency-medical.i-am-having-a-severe-allergic-reaction,emergency-medical.i-cannot-breathe,none
3,emergency-medical.i-am-having-a-severe-allergic-reaction,emergency-medical.i-cannot-breathe,none
1,emergency-medical.i-am-having-a-severe-allergic-reaction,emergency-medical.i-feel-unwell,none
2,emergency-medical.i-am-having-a-severe-allergic-reaction,emergency-medical.i-feel-unwell,partial
3,emergency-medical.i-am-having-a-severe-allergic-reaction,emergency-medical.i-feel-unwell,none
1,emergency-medical.i-am-having-a-severe-allergic-reaction,emergency-medical.i-have-chest-pain,none
2,emergency-medical.i-am-having-a-severe-allergic-reaction,emergency-medical.i-have-chest-pain,none
3,emergency-medical.i-am-having-a-severe-allergic-reaction,emergency-medical.i-have-chest-pain,none
1,emergency-medical.i-am-having-a-severe-allergic-reaction,emergency-medical.i-have-travel-insurance,none
2,emergency-medical.i-am-having-a-severe-allergic-reaction,emergency-medical.i-have-travel-insurance,none
3,emergency-medical.i-am-having-a-severe-allergic-reaction,emergency-medical.i-have-travel-insurance,none
1,emergency-medical.i-am-having-a-severe-allergic-reaction,emergency-medical.i-need-a-doctor,none
2,emergency-medical.i-am-having-a-severe-allergic-reaction,emergency-medical.i-need-a-doctor,none
3,emergency-medical.i-am-having-a-severe-allergic-reaction,emergency-medical.i-need-a-doctor,none
1,emergency-medical.i-am-having-a-severe-allergic-reaction,emergency-medical.i-think-a-bone-is-broken,none
2,emergency-medical.i-am-having-a-severe-allergic-reaction,emergency-medical.i-think-a-bone-is-broken,none
3,emergency-medical.i-am-having-a-severe-allergic-reaction,emergency-medical.i-think-a-bone-is-broken,none
1,emergency-medical.i-am-having-a-severe-allergic-reaction,emergency-medical.is-there-a-doctor-who-speaks-english,none
2,emergency-medical.i-am-having-a-severe-allergic-reaction,emergency-medical.is-there-a-doctor-who-speaks-english,none
3,emergency-medical.i-am-having-a-severe-allergic-reaction,emergency-medical.is-there-a-doctor-who-speaks-english,none
1,emergency-medical.i-am-having-a-severe-allergic-reaction,emergency-medical.it-hurts-here,none
2,emergency-medical.i-am-having-a-severe-allergic-reaction,emergency-medical.it-hurts-here,none
3,emergency-medical.i-am-having-a-severe-allergic-reaction,emergency-medical.it-hurts-here,none
1,emergency-medical.i-am-having-a-severe-allergic-reaction,emergency-medical.please-call-an-ambulance,none
2,emergency-medical.i-am-having-a-severe-allergic-reaction,emergency-medical.please-call-an-ambulance,none
3,emergency-medical.i-am-having-a-severe-allergic-reaction,emergency-medical.please-call-an-ambulance,none
1,emergency-medical.i-am-having-a-severe-allergic-reaction,emergency-medical.please-call-my-emergency-contact,none
2,emergency-medical.i-am-having-a-severe-allergic-reaction,emergency-medical.please-call-my-emergency-contact,none
3,emergency-medical.i-am-having-a-severe-allergic-reaction,emergency-medical.please-call-my-emergency-contact,none
1,emergency-medical.i-am-having-a-severe-allergic-reaction,emergency-medical.please-take-me-to-a-hospital,none
2,emergency-medical.i-am-having-a-severe-allergic-reaction,emergency-medical.please-take-me-to-a-hospital,none
3,emergency-medical.i-am-having-a-severe-allergic-reaction,emergency-medical.please-take-me-to-a-hospital,none
1,emergency-medical.i-am-having-a-severe-allergic-reaction,emergency-medical.this-is-an-emergency,none
2,emergency-medical.i-am-having-a-severe-allergic-reaction,emergency-medical.this-is-an-emergency,none
3,emergency-medical.i-am-having-a-severe-allergic-reaction,emergency-medical.this-is-an-emergency,none
1,emergency-medical.i-am-having-a-severe-allergic-reaction,emergency-medical.this-person-is-unconscious,none
2,emergency-medical.i-am-having-a-severe-allergic-reaction,emergency-medical.this-person-is-unconscious,none
3,emergency-medical.i-am-having-a-severe-allergic-reaction,emergency-medical.this-person-is-unconscious,none
1,emergency-medical.i-am-having-a-severe-allergic-reaction,emergency-medical.what-is-the-emergency-number,none
2,emergency-medical.i-am-having-a-severe-allergic-reaction,emergency-medical.what-is-the-emergency-number,none
3,emergency-medical.i-am-having-a-severe-allergic-reaction,emergency-medical.what-is-the-emergency-number,none
1,emergency-medical.i-am-having-a-severe-allergic-reaction,emergency-medical.where-is-a-pharmacy,none
2,emergency-medical.i-am-having-a-severe-allergic-reaction,emergency-medical.where-is-a-pharmacy,none
3,emergency-medical.i-am-having-a-severe-allergic-reaction,emergency-medical.where-is-a-pharmacy,none
1,emergency-medical.i-am-having-a-severe-allergic-reaction,emergency-medical.where-is-the-nearest-hospital,none
2,emergency-medical.i-am-having-a-severe-allergic-reaction,emergency-medical.where-is-the-nearest-hospital,none
3,emergency-medical.i-am-having-a-severe-allergic-reaction,emergency-medical.where-is-the-nearest-hospital,none
1,emergency-medical.i-am-having-a-severe-allergic-reaction,medical-conditions.i-am-allergic-to-penicillin,none
2,emergency-medical.i-am-having-a-severe-allergic-reaction,medical-conditions.i-am-allergic-to-penicillin,none
3,emergency-medical.i-am-having-a-severe-allergic-reaction,medical-conditions.i-am-allergic-to-penicillin,none
1,emergency-medical.i-am-having-a-severe-allergic-reaction,pharmacy-symptoms.the-pain-is-severe,none
2,emergency-medical.i-am-having-a-severe-allergic-reaction,pharmacy-symptoms.the-pain-is-severe,none
3,emergency-medical.i-am-having-a-severe-allergic-reaction,pharmacy-symptoms.the-pain-is-severe,none
1,emergency-medical.i-am-injured,emergency-medical.i-am-sick,none
2,emergency-medical.i-am-injured,emergency-medical.i-am-sick,partial
3,emergency-medical.i-am-injured,emergency-medical.i-am-sick,none
1,emergency-medical.i-am-injured,emergency-medical.i-cannot-breathe,none
2,emergency-medical.i-am-injured,emergency-medical.i-cannot-breathe,partial
3,emergency-medical.i-am-injured,emergency-medical.i-cannot-breathe,none
1,emergency-medical.i-am-injured,emergency-medical.i-feel-unwell,none
2,emergency-medical.i-am-injured,emergency-medical.i-feel-unwell,partial
3,emergency-medical.i-am-injured,emergency-medical.i-feel-unwell,none
1,emergency-medical.i-am-injured,emergency-medical.i-have-chest-pain,none
2,emergency-medical.i-am-injured,emergency-medical.i-have-chest-pain,partial
3,emergency-medical.i-am-injured,emergency-medical.i-have-chest-pain,none
1,emergency-medical.i-am-injured,emergency-medical.i-have-travel-insurance,none
2,emergency-medical.i-am-injured,emergency-medical.i-have-travel-insurance,none
3,emergency-medical.i-am-injured,emergency-medical.i-have-travel-insurance,none
1,emergency-medical.i-am-injured,emergency-medical.i-need-a-doctor,none
2,emergency-medical.i-am-injured,emergency-medical.i-need-a-doctor,none
3,emergency-medical.i-am-injured,emergency-medical.i-need-a-doctor,none
1,emergency-medical.i-am-injured,emergency-medical.i-think-a-bone-is-broken,none
2,emergency-medical.i-am-injured,emergency-medical.i-think-a-bone-is-broken,partial
3,emergency-medical.i-am-injured,emergency-medical.i-think-a-bone-is-broken,none
1,emergency-medical.i-am-injured,emergency-medical.is-there-a-doctor-who-speaks-english,none
2,emergency-medical.i-am-injured,emergency-medical.is-there-a-doctor-who-speaks-english,none
3,emergency-medical.i-am-injured,emergency-medical.is-there-a-doctor-who-speaks-english,none
1,emergency-medical.i-am-injured,emergency-medical.it-hurts-here,none
2,emergency-medical.i-am-injured,emergency-medical.it-hurts-here,partial
3,emergency-medical.i-am-injured,emergency-medical.it-hurts-here,none
1,emergency-medical.i-am-injured,emergency-medical.please-call-an-ambulance,none
2,emergency-medical.i-am-injured,emergency-medical.please-call-an-ambulance,none
3,emergency-medical.i-am-injured,emergency-medical.please-call-an-ambulance,none
1,emergency-medical.i-am-injured,emergency-medical.please-call-my-emergency-contact,none
2,emergency-medical.i-am-injured,emergency-medical.please-call-my-emergency-contact,none
3,emergency-medical.i-am-injured,emergency-medical.please-call-my-emergency-contact,none
1,emergency-medical.i-am-injured,emergency-medical.please-take-me-to-a-hospital,none
2,emergency-medical.i-am-injured,emergency-medical.please-take-me-to-a-hospital,none
3,emergency-medical.i-am-injured,emergency-medical.please-take-me-to-a-hospital,none
1,emergency-medical.i-am-injured,emergency-medical.this-is-an-emergency,none
2,emergency-medical.i-am-injured,emergency-medical.this-is-an-emergency,none
3,emergency-medical.i-am-injured,emergency-medical.this-is-an-emergency,none
1,emergency-medical.i-am-injured,emergency-medical.this-person-is-unconscious,none
2,emergency-medical.i-am-injured,emergency-medical.this-person-is-unconscious,none
3,emergency-medical.i-am-injured,emergency-medical.this-person-is-unconscious,none
1,emergency-medical.i-am-injured,emergency-medical.what-is-the-emergency-number,none
2,emergency-medical.i-am-injured,emergency-medical.what-is-the-emergency-number,none
3,emergency-medical.i-am-injured,emergency-medical.what-is-the-emergency-number,none
1,emergency-medical.i-am-injured,emergency-medical.where-is-a-pharmacy,none
2,emergency-medical.i-am-injured,emergency-medical.where-is-a-pharmacy,none
3,emergency-medical.i-am-injured,emergency-medical.where-is-a-pharmacy,none
1,emergency-medical.i-am-injured,emergency-medical.where-is-the-nearest-hospital,none
2,emergency-medical.i-am-injured,emergency-medical.where-is-the-nearest-hospital,none
3,emergency-medical.i-am-injured,emergency-medical.where-is-the-nearest-hospital,none
1,emergency-medical.i-am-injured,introductions.i-am-a-tourist,none
2,emergency-medical.i-am-injured,introductions.i-am-a-tourist,none
3,emergency-medical.i-am-injured,introductions.i-am-a-tourist,none
1,emergency-medical.i-am-injured,introductions.i-am-from,none
2,emergency-medical.i-am-injured,introductions.i-am-from,none
3,emergency-medical.i-am-injured,introductions.i-am-from,none
1,emergency-medical.i-am-injured,medical-conditions.i-am-diabetic,none
2,emergency-medical.i-am-injured,medical-conditions.i-am-diabetic,none
3,emergency-medical.i-am-injured,medical-conditions.i-am-diabetic,none
1,emergency-medical.i-am-injured,medical-conditions.i-am-pregnant,none
2,emergency-medical.i-am-injured,medical-conditions.i-am-pregnant,none
3,emergency-medical.i-am-injured,medical-conditions.i-am-pregnant,none
1,emergency-medical.i-am-injured,pharmacy-symptoms.i-am-vomiting,none
2,emergency-medical.i-am-injured,pharmacy-symptoms.i-am-vomiting,none
3,emergency-medical.i-am-injured,pharmacy-symptoms.i-am-vomiting,none
1,emergency-medical.i-am-injured,transit-rides.i-am-in-a-hurry,none
2,emergency-medical.i-am-injured,transit-rides.i-am-in-a-hurry,none
3,emergency-medical.i-am-injured,transit-rides.i-am-in-a-hurry,none
1,emergency-medical.i-am-injured,utility-templates.i-am-looking-for,none
2,emergency-medical.i-am-injured,utility-templates.i-am-looking-for,none
3,emergency-medical.i-am-injured,utility-templates.i-am-looking-for,none
1,emergency-medical.i-am-sick,emergency-medical.i-cannot-breathe,none
2,emergency-medical.i-am-sick,emergency-medical.i-cannot-breathe,partial
3,emergency-medical.i-am-sick,emergency-medical.i-cannot-breathe,none
1,emergency-medical.i-am-sick,emergency-medical.i-feel-unwell,duplicate
2,emergency-medical.i-am-sick,emergency-medical.i-feel-unwell,duplicate
3,emergency-medical.i-am-sick,emergency-medical.i-feel-unwell,partial
1,emergency-medical.i-am-sick,emergency-medical.i-have-chest-pain,none
2,emergency-medical.i-am-sick,emergency-medical.i-have-chest-pain,partial
3,emergency-medical.i-am-sick,emergency-medical.i-have-chest-pain,none
1,emergency-medical.i-am-sick,emergency-medical.i-have-travel-insurance,none
2,emergency-medical.i-am-sick,emergency-medical.i-have-travel-insurance,none
3,emergency-medical.i-am-sick,emergency-medical.i-have-travel-insurance,none
1,emergency-medical.i-am-sick,emergency-medical.i-need-a-doctor,none
2,emergency-medical.i-am-sick,emergency-medical.i-need-a-doctor,none
3,emergency-medical.i-am-sick,emergency-medical.i-need-a-doctor,none
1,emergency-medical.i-am-sick,emergency-medical.i-think-a-bone-is-broken,none
2,emergency-medical.i-am-sick,emergency-medical.i-think-a-bone-is-broken,partial
3,emergency-medical.i-am-sick,emergency-medical.i-think-a-bone-is-broken,none
1,emergency-medical.i-am-sick,emergency-medical.is-there-a-doctor-who-speaks-english,none
2,emergency-medical.i-am-sick,emergency-medical.is-there-a-doctor-who-speaks-english,none
3,emergency-medical.i-am-sick,emergency-medical.is-there-a-doctor-who-speaks-english,none
1,emergency-medical.i-am-sick,emergency-medical.it-hurts-here,none
2,emergency-medical.i-am-sick,emergency-medical.it-hurts-here,partial
3,emergency-medical.i-am-sick,emergency-medical.it-hurts-here,none
1,emergency-medical.i-am-sick,emergency-medical.please-call-an-ambulance,none
2,emergency-medical.i-am-sick,emergency-medical.please-call-an-ambulance,none
3,emergency-medical.i-am-sick,emergency-medical.please-call-an-ambulance,none
1,emergency-medical.i-am-sick,emergency-medical.please-call-my-emergency-contact,none
2,emergency-medical.i-am-sick,emergency-medical.please-call-my-emergency-contact,none
3,emergency-medical.i-am-sick,emergency-medical.please-call-my-emergency-contact,none
1,emergency-medical.i-am-sick,emergency-medical.please-take-me-to-a-hospital,none
2,emergency-medical.i-am-sick,emergency-medical.please-take-me-to-a-hospital,none
3,emergency-medical.i-am-sick,emergency-medical.please-take-me-to-a-hospital,none
1,emergency-medical.i-am-sick,emergency-medical.this-is-an-emergency,none
2,emergency-medical.i-am-sick,emergency-medical.this-is-an-emergency,none
3,emergency-medical.i-am-sick,emergency-medical.this-is-an-emergency,none
1,emergency-medical.i-am-sick,emergency-medical.this-person-is-unconscious,none
2,emergency-medical.i-am-sick,emergency-medical.this-person-is-unconscious,none
3,emergency-medical.i-am-sick,emergency-medical.this-person-is-unconscious,none
1,emergency-medical.i-am-sick,emergency-medical.what-is-the-emergency-number,none
2,emergency-medical.i-am-sick,emergency-medical.what-is-the-emergency-number,none
3,emergency-medical.i-am-sick,emergency-medical.what-is-the-emergency-number,none
1,emergency-medical.i-am-sick,emergency-medical.where-is-a-pharmacy,none
2,emergency-medical.i-am-sick,emergency-medical.where-is-a-pharmacy,none
3,emergency-medical.i-am-sick,emergency-medical.where-is-a-pharmacy,none
1,emergency-medical.i-am-sick,emergency-medical.where-is-the-nearest-hospital,none
2,emergency-medical.i-am-sick,emergency-medical.where-is-the-nearest-hospital,none
3,emergency-medical.i-am-sick,emergency-medical.where-is-the-nearest-hospital,none
1,emergency-medical.i-am-sick,introductions.i-am-a-tourist,none
2,emergency-medical.i-am-sick,introductions.i-am-a-tourist,none
3,emergency-medical.i-am-sick,introductions.i-am-a-tourist,none
1,emergency-medical.i-am-sick,introductions.i-am-from,none
2,emergency-medical.i-am-sick,introductions.i-am-from,none
3,emergency-medical.i-am-sick,introductions.i-am-from,none
1,emergency-medical.i-am-sick,medical-conditions.i-am-diabetic,none
2,emergency-medical.i-am-sick,medical-conditions.i-am-diabetic,none
3,emergency-medical.i-am-sick,medical-conditions.i-am-diabetic,none
1,emergency-medical.i-am-sick,medical-conditions.i-am-pregnant,none
2,emergency-medical.i-am-sick,medical-conditions.i-am-pregnant,none
3,emergency-medical.i-am-sick,medical-conditions.i-am-pregnant,none
1,emergency-medical.i-am-sick,pharmacy-symptoms.i-am-vomiting,partial
2,emergency-medical.i-am-sick,pharmacy-symptoms.i-am-vomiting,partial
3,emergency-medical.i-am-sick,pharmacy-symptoms.i-am-vomiting,partial
1,emergency-medical.i-am-sick,transit-rides.i-am-in-a-hurry,none
2,emergency-medical.i-am-sick,transit-rides.i-am-in-a-hurry,none
3,emergency-medical.i-am-sick,transit-rides.i-am-in-a-hurry,none
1,emergency-medical.i-am-sick,utility-templates.i-am-looking-for,none
2,emergency-medical.i-am-sick,utility-templates.i-am-looking-for,none
3,emergency-medical.i-am-sick,utility-templates.i-am-looking-for,none
1,emergency-medical.i-cannot-breathe,emergency-medical.i-feel-unwell,none
2,emergency-medical.i-cannot-breathe,emergency-medical.i-feel-unwell,partial
3,emergency-medical.i-cannot-breathe,emergency-medical.i-feel-unwell,none
1,emergency-medical.i-cannot-breathe,emergency-medical.i-have-chest-pain,none
2,emergency-medical.i-cannot-breathe,emergency-medical.i-have-chest-pain,none
3,emergency-medical.i-cannot-breathe,emergency-medical.i-have-chest-pain,none
1,emergency-medical.i-cannot-breathe,emergency-medical.i-have-travel-insurance,none
2,emergency-medical.i-cannot-breathe,emergency-medical.i-have-travel-insurance,none
3,emergency-medical.i-cannot-breathe,emergency-medical.i-have-travel-insurance,none
1,emergency-medical.i-cannot-breathe,emergency-medical.i-need-a-doctor,none
2,emergency-medical.i-cannot-breathe,emergency-medical.i-need-a-doctor,none
3,emergency-medical.i-cannot-breathe,emergency-medical.i-need-a-doctor,none
1,emergency-medical.i-cannot-breathe,emergency-medical.i-think-a-bone-is-broken,none
2,emergency-medical.i-cannot-breathe,emergency-medical.i-think-a-bone-is-broken,none
3,emergency-medical.i-cannot-breathe,emergency-medical.i-think-a-bone-is-broken,none
1,emergency-medical.i-cannot-breathe,emergency-medical.is-there-a-doctor-who-speaks-english,none
2,emergency-medical.i-cannot-breathe,emergency-medical.is-there-a-doctor-who-speaks-english,none
3,emergency-medical.i-cannot-breathe,emergency-medical.is-there-a-doctor-who-speaks-english,none
1,emergency-medical.i-cannot-breathe,emergency-medical.it-hurts-here,none
2,emergency-medical.i-cannot-breathe,emergency-medical.it-hurts-here,none
3,emergency-medical.i-cannot-breathe,emergency-medical.it-hurts-here,none
1,emergency-medical.i-cannot-breathe,emergency-medical.please-call-an-ambulance,none
2,emergency-medical.i-cannot-breathe,emergency-medical.please-call-an-ambulance,none
3,emergency-medical.i-cannot-breathe,emergency-medical.please-call-an-ambulance,none
1,emergency-medical.i-cannot-breathe,emergency-medical.please-call-my-emergency-contact,none
2,emergency-medical.i-cannot-breathe,emergency-medical.please-call-my-emergency-contact,none
3,emergency-medical.i-cannot-breathe,emergency-medical.please-call-my-emergency-contact,none
1,emergency-medical.i-cannot-breathe,emergency-medical.please-take-me-to-a-hospital,none
2,emergency-medical.i-cannot-breathe,emergency-medical.please-take-me-to-a-hospital,none
3,emergency-medical.i-cannot-breathe,emergency-medical.please-take-me-to-a-hospital,none
1,emergency-medical.i-cannot-breathe,emergency-medical.this-is-an-emergency,none
2,emergency-medical.i-cannot-breathe,emergency-medical.this-is-an-emergency,none
3,emergency-medical.i-cannot-breathe,emergency-medical.this-is-an-emergency,none
1,emergency-medical.i-cannot-breathe,emergency-medical.this-person-is-unconscious,none
2,emergency-medical.i-cannot-breathe,emergency-medical.this-person-is-unconscious,none
3,emergency-medical.i-cannot-breathe,emergency-medical.this-person-is-unconscious,none
1,emergency-medical.i-cannot-breathe,emergency-medical.what-is-the-emergency-number,none
2,emergency-medical.i-cannot-breathe,emergency-medical.what-is-the-emergency-number,none
3,emergency-medical.i-cannot-breathe,emergency-medical.what-is-the-emergency-number,none
1,emergency-medical.i-cannot-breathe,emergency-medical.where-is-a-pharmacy,none
2,emergency-medical.i-cannot-breathe,emergency-medical.where-is-a-pharmacy,none
3,emergency-medical.i-cannot-breathe,emergency-medical.where-is-a-pharmacy,none
1,emergency-medical.i-cannot-breathe,emergency-medical.where-is-the-nearest-hospital,none
2,emergency-medical.i-cannot-breathe,emergency-medical.where-is-the-nearest-hospital,none
3,emergency-medical.i-cannot-breathe,emergency-medical.where-is-the-nearest-hospital,none
1,emergency-medical.i-cannot-breathe,lost-rescue.i-cannot-walk,none
2,emergency-medical.i-cannot-breathe,lost-rescue.i-cannot-walk,none
3,emergency-medical.i-cannot-breathe,lost-rescue.i-cannot-walk,none
1,emergency-medical.i-cannot-breathe,lost-rescue.i-lost-my-wallet,none
2,emergency-medical.i-cannot-breathe,lost-rescue.i-lost-my-wallet,none
3,emergency-medical.i-cannot-breathe,lost-rescue.i-lost-my-wallet,none
1,emergency-medical.i-cannot-breathe,quick-responses.cannot-not-allowed,none
2,emergency-medical.i-cannot-breathe,quick-responses.cannot-not-allowed,none
3,emergency-medical.i-cannot-breathe,quick-responses.cannot-not-allowed,none
1,emergency-medical.i-cannot-breathe,quick-responses.cannot-not-possible,none
2,emergency-medical.i-cannot-breathe,quick-responses.cannot-not-possible,none
3,emergency-medical.i-cannot-breathe,quick-responses.cannot-not-possible,none
1,emergency-medical.i-cannot-breathe,utility-templates.i-cannot-find,none
2,emergency-medical.i-cannot-breathe,utility-templates.i-cannot-find,none
3,emergency-medical.i-cannot-breathe,utility-templates.i-cannot-find,none
1,emergency-medical.i-feel-unwell,emergency-medical.i-have-chest-pain,none
2,emergency-medical.i-feel-unwell,emergency-medical.i-have-chest-pain,partial
3,emergency-medical.i-feel-unwell,emergency-medical.i-have-chest-pain,none
1,emergency-medical.i-feel-unwell,emergency-medical.i-have-travel-insurance,none
2,emergency-medical.i-feel-unwell,emergency-medical.i-have-travel-insurance,none
3,emergency-medical.i-feel-unwell,emergency-medical.i-have-travel-insurance,none
1,emergency-medical.i-feel-unwell,emergency-medical.i-need-a-doctor,none
2,emergency-medical.i-feel-unwell,emergency-medical.i-need-a-doctor,none
3,emergency-medical.i-feel-unwell,emergency-medical.i-need-a-doctor,none
1,emergency-medical.i-feel-unwell,emergency-medical.i-think-a-bone-is-broken,none
2,emergency-medical.i-feel-unwell,emergency-medical.i-think-a-bone-is-broken,partial
3,emergency-medical.i-feel-unwell,emergency-medical.i-think-a-bone-is-broken,none
1,emergency-medical.i-feel-unwell,emergency-medical.is-there-a-doctor-who-speaks-english,none
2,emergency-medical.i-feel-unwell,emergency-medical.is-there-a-doctor-who-speaks-english,none
3,emergency-medical.i-feel-unwell,emergency-medical.is-there-a-doctor-who-speaks-english,none
1,emergency-medical.i-feel-unwell,emergency-medical.it-hurts-here,none
2,emergency-medical.i-feel-unwell,emergency-medical.it-hurts-here,partial
3,emergency-medical.i-feel-unwell,emergency-medical.it-hurts-here,none
1,emergency-medical.i-feel-unwell,emergency-medical.please-call-an-ambulance,none
2,emergency-medical.i-feel-unwell,emergency-medical.please-call-an-ambulance,none
3,emergency-medical.i-feel-unwell,emergency-medical.please-call-an-ambulance,none
1,emergency-medical.i-feel-unwell,emergency-medical.please-call-my-emergency-contact,none
2,emergency-medical.i-feel-unwell,emergency-medical.please-call-my-emergency-contact,none
3,emergency-medical.i-feel-unwell,emergency-medical.please-call-my-emergency-contact,none
1,emergency-medical.i-feel-unwell,emergency-medical.please-take-me-to-a-hospital,none
2,emergency-medical.i-feel-unwell,emergency-medical.please-take-me-to-a-hospital,none
3,emergency-medical.i-feel-unwell,emergency-medical.please-take-me-to-a-hospital,none
1,emergency-medical.i-feel-unwell,emergency-medical.this-is-an-emergency,none
2,emergency-medical.i-feel-unwell,emergency-medical.this-is-an-emergency,none
3,emergency-medical.i-feel-unwell,emergency-medical.this-is-an-emergency,none
1,emergency-medical.i-feel-unwell,emergency-medical.this-person-is-unconscious,none
2,emergency-medical.i-feel-unwell,emergency-medical.this-person-is-unconscious,none
3,emergency-medical.i-feel-unwell,emergency-medical.this-person-is-unconscious,none
1,emergency-medical.i-feel-unwell,emergency-medical.what-is-the-emergency-number,none
2,emergency-medical.i-feel-unwell,emergency-medical.what-is-the-emergency-number,none
3,emergency-medical.i-feel-unwell,emergency-medical.what-is-the-emergency-number,none
1,emergency-medical.i-feel-unwell,emergency-medical.where-is-a-pharmacy,none
2,emergency-medical.i-feel-unwell,emergency-medical.where-is-a-pharmacy,none
3,emergency-medical.i-feel-unwell,emergency-medical.where-is-a-pharmacy,none
1,emergency-medical.i-feel-unwell,emergency-medical.where-is-the-nearest-hospital,none
2,emergency-medical.i-feel-unwell,emergency-medical.where-is-the-nearest-hospital,none
3,emergency-medical.i-feel-unwell,emergency-medical.where-is-the-nearest-hospital,none
1,emergency-medical.i-feel-unwell,hotel-basics.two-beds,none
2,emergency-medical.i-feel-unwell,hotel-basics.two-beds,none
3,emergency-medical.i-feel-unwell,hotel-basics.two-beds,none
1,emergency-medical.i-feel-unwell,pharmacy-symptoms.i-feel-dizzy,partial
2,emergency-medical.i-feel-unwell,pharmacy-symptoms.i-feel-dizzy,partial
3,emergency-medical.i-feel-unwell,pharmacy-symptoms.i-feel-dizzy,partial
1,emergency-medical.i-feel-unwell,pharmacy-symptoms.i-feel-nauseous,partial
2,emergency-medical.i-feel-unwell,pharmacy-symptoms.i-feel-nauseous,partial
3,emergency-medical.i-feel-unwell,pharmacy-symptoms.i-feel-nauseous,partial
1,emergency-medical.i-have-chest-pain,emergency-medical.i-have-travel-insurance,none
2,emergency-medical.i-have-chest-pain,emergency-medical.i-have-travel-insurance,none
3,emergency-medical.i-have-chest-pain,emergency-medical.i-have-travel-insurance,none
1,emergency-medical.i-have-chest-pain,emergency-medical.i-need-a-doctor,none
2,emergency-medical.i-have-chest-pain,emergency-medical.i-need-a-doctor,none
3,emergency-medical.i-have-chest-pain,emergency-medical.i-need-a-doctor,none
1,emergency-medical.i-have-chest-pain,emergency-medical.i-think-a-bone-is-broken,none
2,emergency-medical.i-have-chest-pain,emergency-medical.i-think-a-bone-is-broken,none
3,emergency-medical.i-have-chest-pain,emergency-medical.i-think-a-bone-is-broken,none
1,emergency-medical.i-have-chest-pain,emergency-medical.is-there-a-doctor-who-speaks-english,none
2,emergency-medical.i-have-chest-pain,emergency-medical.is-there-a-doctor-who-speaks-english,none
3,emergency-medical.i-have-chest-pain,emergency-medical.is-there-a-doctor-who-speaks-english,none
1,emergency-medical.i-have-chest-pain,emergency-medical.it-hurts-here,partial
2,emergency-medical.i-have-chest-pain,emergency-medical.it-hurts-here,none
3,emergency-medical.i-have-chest-pain,emergency-medical.it-hurts-here,none
1,emergency-medical.i-have-chest-pain,emergency-medical.please-call-an-ambulance,none
2,emergency-medical.i-have-chest-pain,emergency-medical.please-call-an-ambulance,none
3,emergency-medical.i-have-chest-pain,emergency-medical.please-call-an-ambulance,none
1,emergency-medical.i-have-chest-pain,emergency-medical.please-call-my-emergency-contact,none
2,emergency-medical.i-have-chest-pain,emergency-medical.please-call-my-emergency-contact,none
3,emergency-medical.i-have-chest-pain,emergency-medical.please-call-my-emergency-contact,none
1,emergency-medical.i-have-chest-pain,emergency-medical.please-take-me-to-a-hospital,none
2,emergency-medical.i-have-chest-pain,emergency-medical.please-take-me-to-a-hospital,none
3,emergency-medical.i-have-chest-pain,emergency-medical.please-take-me-to-a-hospital,none
1,emergency-medical.i-have-chest-pain,emergency-medical.this-is-an-emergency,none
2,emergency-medical.i-have-chest-pain,emergency-medical.this-is-an-emergency,none
3,emergency-medical.i-have-chest-pain,emergency-medical.this-is-an-emergency,none
1,emergency-medical.i-have-chest-pain,emergency-medical.this-person-is-unconscious,none
2,emergency-medical.i-have-chest-pain,emergency-medical.this-person-is-unconscious,none
3,emergency-medical.i-have-chest-pain,emergency-medical.this-person-is-unconscious,none
1,emergency-medical.i-have-chest-pain,emergency-medical.what-is-the-emergency-number,none
2,emergency-medical.i-have-chest-pain,emergency-medical.what-is-the-emergency-number,none
3,emergency-medical.i-have-chest-pain,emergency-medical.what-is-the-emergency-number,none
1,emergency-medical.i-have-chest-pain,emergency-medical.where-is-a-pharmacy,none
2,emergency-medical.i-have-chest-pain,emergency-medical.where-is-a-pharmacy,none
3,emergency-medical.i-have-chest-pain,emergency-medical.where-is-a-pharmacy,none
1,emergency-medical.i-have-chest-pain,emergency-medical.where-is-the-nearest-hospital,none
2,emergency-medical.i-have-chest-pain,emergency-medical.where-is-the-nearest-hospital,none
3,emergency-medical.i-have-chest-pain,emergency-medical.where-is-the-nearest-hospital,none
1,emergency-medical.i-have-chest-pain,pharmacy-symptoms.the-pain-is-severe,none
2,emergency-medical.i-have-chest-pain,pharmacy-symptoms.the-pain-is-severe,none
3,emergency-medical.i-have-chest-pain,pharmacy-symptoms.the-pain-is-severe,none
1,emergency-medical.i-have-travel-insurance,emergency-medical.i-need-a-doctor,none
2,emergency-medical.i-have-travel-insurance,emergency-medical.i-need-a-doctor,none
3,emergency-medical.i-have-travel-insurance,emergency-medical.i-need-a-doctor,none
1,emergency-medical.i-have-travel-insurance,emergency-medical.i-think-a-bone-is-broken,none
2,emergency-medical.i-have-travel-insurance,emergency-medical.i-think-a-bone-is-broken,none
